Player,Team,Position,Age,Market value,Contract expires,Minutes played,Passport country,Foot,Height,Weight,On loan,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,PAdj Interceptions,Fouls per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %","Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Lateral passes per 90,Short / medium passes per 90,Long passes per 90,"Average pass length, m",xA per 90,Shot assists per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %"
T. Werner,Chelsea,"LWF, CF, RWF",24,70000000,2025-06-30,1319,Germany,right,180,76,no,3.55,63.46,0.68,20,0.2,2.66,0.75,0.36,2.12,38.71,12.903,38.46,4.23,48.39,4.71,2.52,24.91,1.84,29.48,80.32,6.41,68.09,8.53,7.85,27.09,0.82,15.47,0.16,0.68,2.52,81.08,1.71,64,0.82,0.61,3,79.55
Lautaro Martínez,Internazionale,CF,23,70000000,2023-06-30,970,Argentina,right,174,79,no,2.88,41.94,3.25,31.43,0.36,3.4,1.76,0.49,3.43,37.84,16.216,40,4.82,44.23,5.1,0.65,15.31,2.51,16.61,73.74,2.88,51.61,3.34,5.47,15.4,0.74,13.9,0.27,1.11,1.11,50,1.21,46.15,0.84,0.09,0.84,66.67
Mikel Oyarzabal,Real Sociedad,"LW, LWF, RW",23,60000000,2024-06-30,736,Spain,left,181,79,no,4.77,51.28,2.81,26.09,0.39,4.9,0.86,0.76,3.67,50,23.333,37.04,3.67,46.67,4.52,1.59,25.8,2.08,31.79,80,5.63,69.57,9.29,10.27,27.51,1.59,18.46,0.19,1.22,1.35,81.82,3.3,66.67,1.59,1.22,3.42,82.14
Cristiano Ronaldo,Juventus,CF,35,60000000,2022-06-30,861,Portugal,right,187,84,no,1.36,46.15,2.4,60.87,0,2.77,0.21,1.02,5.02,45.83,25,29.63,7.42,67.61,6.69,3.76,32.93,1.99,36.48,81.66,6.69,76.56,10.56,10.56,33.14,0.63,14.87,0.1,0.94,2.61,84,2.4,56.52,1.36,0.73,3.45,84.85
R. Lewandowski,Bayern München,CF,32,60000000,2023-06-30,1060,Poland,right,184,80,no,3.14,43.24,4.84,47.37,0.13,2.7,1.78,0.86,4.08,47.92,35.417,37.5,2.21,26.92,5.69,1.1,18,1.61,21.23,74.8,5.52,63.08,4.08,6.28,19.7,0.85,14.77,0.05,0.51,1.87,68.18,1.95,56.52,1.27,0.25,1.87,77.27
Gabriel Jesus,Manchester City,CF,23,60000000,2023-06-30,669,Brazil,right,175,67,no,3.77,53.57,2.96,27.27,0,2.43,1.21,0.19,1.48,36.36,18.182,33.33,3.9,48.28,3.5,1.48,15.74,1.61,21.26,81.65,2.56,73.68,6.05,6.59,20.04,0.81,13.57,0.16,1.08,1.35,90,0.94,71.43,1.08,0.13,2.15,56.25
C. Pulišić,Chelsea,"LWF, RWF, RAMF",22,60000000,2024-06-30,551,"USA, Croatia",right,173,70,no,3.59,50,3.92,20.83,0.22,2.83,0.49,0.28,2.12,30.77,7.692,33.33,9.47,62.07,4.41,3.59,22.21,1.63,30.54,77.54,10.78,72.73,4.9,8,27.28,1.47,16.43,0.07,0.82,3.76,73.91,4.41,81.48,2.61,0.65,5.72,68.57
P. Foden,Manchester City,"LAMF, RAMF, LWF",20,60000000,2024-06-30,534,England,left,175,68,no,3.37,45,3.2,26.32,0.56,3.08,0.51,0.28,2.53,33.33,13.333,28.57,7.08,45.24,4.04,1.69,33.03,1.52,40.28,86.61,7.92,74.47,13.82,11.46,36.57,1.52,17.39,0.07,0.84,2.87,88.24,2.87,52.94,1.35,0.34,3.2,78.95
Richarlison,Everton,"LWF, LW",23,60000000,2024-06-30,960,Brazil,right,179,71,no,6.09,55.38,2.06,36.36,0.47,3.9,1.13,0.34,2.63,50,7.143,21.05,7.31,64.1,4.22,4.03,15.66,1.88,25.69,74.09,5.06,66.67,8.63,6.66,22.97,0.94,17.43,0.16,0.66,0.84,66.67,1.41,46.67,0.75,0.47,3.94,57.14
M. Icardi,PSG,"CF, RAMF",27,55000000,2024-06-30,369,"Argentina, Italy",right,181,75,no,2.93,41.67,1.46,16.67,0,0.33,0.73,0.63,2.68,45.45,18.182,0,0.49,50,5.85,0.73,8.78,1.22,10.73,75,1.95,62.5,2.2,2.68,10,0,19.34,0.26,1.46,0.73,100,0.98,25,1.22,0,0.73,100
A. Martial,Manchester United,"CF, LAMF",25,55000000,2024-06-30,747,"France, Guadeloupe",right,184,76,no,1.93,50,3.13,42.31,0,1.78,0.84,0.41,2.29,47.37,5.263,42.86,5.3,59.09,5.06,1.69,17.95,1.08,24.58,82.35,4.46,72.97,6.51,7.47,23.01,0.72,14.65,0.16,0.84,1.93,87.5,1.69,71.43,1.93,0.36,2.17,83.33
V. Osimhen,Napoli,CF,21,50000000,2025-06-30,492,Nigeria,right,185,78,no,2.56,71.43,6.95,39.47,0.24,1.2,1.1,0.6,4.39,41.67,8.333,22.22,4.02,54.55,5.49,1.46,10.06,2.38,14.45,67.09,2.56,50,3.11,5.49,12.44,0.91,19.13,0.06,0.91,1.1,83.33,0.91,40,0.73,0.18,1.65,44.44
L. Ocampos,Sevilla,"RWF, LWF, LAMF",26,50000000,2024-06-30,1042,Argentina,right,187,84,no,5.79,53.73,1.55,55.56,1.36,4.24,1.47,0.4,2.5,24.14,6.897,28.57,8.55,50.51,4.75,2.68,22.28,2.68,29.8,80.58,6.56,78.95,6.91,10.02,25.57,1.73,18.12,0.13,1.04,2.42,75,2.33,55.56,1.47,0.78,3.97,89.13
Vinícius Júnior,Real Madrid,"LWF, LAMF, LW",20,50000000,2025-06-30,807,"Brazil, Spain",right,176,73,no,6.02,50,0.45,50,1.17,2,1,0.38,1.9,35.29,11.765,23.53,7.25,32.31,5.24,5.13,30.89,1.78,34.8,84.94,5.02,77.78,10.59,10.04,32.34,0.67,14.43,0.09,1.45,1.56,78.57,2.34,57.14,1,0.56,3.12,75
O. Dembélé,Barcelona,"LAMF, RW, RAMF",23,50000000,2022-06-30,397,"France, Mauritania",both,178,67,no,2.95,46.15,1.36,16.67,0,3.79,0.23,0.08,1.13,40,20,21.43,7.71,44.12,3.85,4.31,39.45,2.27,44.66,80.2,6.57,72.41,10.43,18.59,40.35,1.59,16.91,0.09,1.13,2.27,90,3.4,53.33,2.72,0.45,4.53,90
M. Greenwood,Manchester United,"RAMF, CF",19,50000000,2023-06-30,586,England,right,181,73,no,3.69,58.33,0.46,0,0.38,1.34,0.61,0.18,2.92,26.32,5.263,20,5.22,61.76,2.15,1.23,24.42,1.54,29.33,84.29,3.99,61.54,9.37,9.98,27.03,1.54,15.68,0.04,0.61,2,61.54,1.08,42.86,0.31,0.31,2.61,52.94
J. Grealish,Aston Villa,"LWF, LAMF, LW",25,50000000,2025-06-30,1267,"England, Republic of Ireland",right,178,68,no,4.69,53.03,2.2,51.61,0.85,2.56,1.63,0.21,2.84,35,12.5,30,9.73,71.53,7.53,5.97,23.73,1.85,36.37,83.59,10.66,80,6.32,12.15,32.75,1.49,17.2,0.38,3.05,4.62,72.31,3.84,77.78,4.33,0.71,6.75,89.47
W. Zaha,Crystal Palace,CF,28,50000000,2023-06-30,1249,England,right,180,66,no,5.04,50,1.22,23.53,0.17,1.91,1.44,0.43,2.38,36.36,21.212,14.81,8.29,48.7,4.25,2.67,15.49,1.73,20.97,76.63,3.75,69.23,5.69,6.63,18.66,0.43,16.3,0.09,0.58,1.59,68.18,2.16,53.33,1.44,0.36,2.31,71.88
Ferrán Torres,Manchester City,"CF, RAMF, RWF",20,50000000,2025-06-30,599,Spain,right,184,77,no,2.7,33.33,2.1,28.57,0.25,2.95,1.35,0.33,1.95,46.15,15.385,0,4.81,56.25,2.85,1.5,18.33,2.55,21.79,82.76,3.46,69.57,6.91,7.36,19.23,0.75,17.37,0.01,0.45,1.8,75,2.55,47.06,1.2,0.15,3.01,95
F. Chiesa,Juventus,"LW, RWB, RW",23,48000000,2022-06-30,849,Italy,right,175,70,yes,7.21,58.82,1.91,33.33,0.15,3.83,0.85,0.13,1.59,33.33,13.333,37.14,7.31,55.07,4.56,3.5,21.52,2.23,30.32,78.32,6.78,76.56,7.42,9.65,24.17,2.76,19.2,0.23,1.17,1.8,70.59,2.97,57.14,1.59,1.17,4.45,78.57
L. Insigne,Napoli,"LAMF, LW, LWF",29,48000000,2022-06-30,829,Italy,right,163,59,no,4.56,42.86,0.22,0,0.16,4.4,0.11,0.24,3.26,40,16.667,52.17,6.84,52.38,3.04,3.15,45.92,1.95,54.5,86.25,10.75,74.75,15.63,17.15,48.31,4.13,18.09,0.11,0.87,7.17,77.27,4.45,65.85,1.85,1.3,8.58,83.54
R. Mahrez,Manchester City,"RAMF, RWF, RWB",29,48000000,2023-06-30,804,Algeria,left,179,67,no,4.25,52.63,1.57,57.14,0.18,2.68,1.01,0.32,2.69,41.67,16.667,40,7.39,45.45,4.03,1.57,32.46,2.57,40.75,86.26,7.28,67.69,11.64,14.22,37.16,1.9,16.25,0.19,1.79,2.01,72.22,4.03,52.78,2.01,0.67,4.7,83.33
D. Kulusevski,Juventus,"RW, AMF, LW",20,45000000,2024-06-30,666,"Sweden, North Macedonia",left,186,79,no,7.84,55.17,0.95,0,0,2.75,0.81,0.2,1.62,33.33,25,31.25,5.68,57.14,3.78,3.78,30.41,1.49,38.24,82.33,7.7,70.18,8.65,11.49,35.41,0.68,14.62,0.23,1.89,2.84,71.43,3.38,52,1.62,0.68,5.41,72.5
M. Depay,Olympique Lyonnais,"CF, AMF",26,45000000,2021-06-30,1277,"Netherlands, Ghana",right,176,78,no,2.96,40.48,1.27,22.22,0,1.39,0.92,0.57,3.45,44.9,16.327,42.11,7.19,41.18,4.37,1.9,22.13,1.34,29.95,76.24,7.68,68.81,6.13,9.87,25.87,1.69,16.83,0.42,2.47,3.74,67.92,3.88,56.36,2.11,1.06,5.07,91.67
C. Immobile,Lazio,CF,30,45000000,2025-06-30,985,Italy,right,185,85,no,2.83,48.39,3.11,35.29,0.12,1.41,1.19,0.6,3.29,41.67,25,18.18,2.65,55.17,4.11,1.55,21.65,2.28,25.77,76.6,4.57,66,6.49,8.04,23.76,1.01,15.26,0.07,0.73,2.47,66.67,1.64,44.44,1.46,0.18,2.28,64
Rodrygo,Real Madrid,"RWF, LWF, RAMF",19,45000000,2025-06-30,459,Brazil,right,174,64,no,6.67,50,2.16,36.36,0,4.59,1.96,0.16,1.37,42.86,0,20,4.9,56,4.51,3.92,26.27,2.35,33.14,78.11,6.86,68.57,7.65,8.24,30.98,0.2,15.03,0.27,1.76,2.94,80,2.35,50,1.18,0.39,3.14,75
H. Ziyech,Chelsea,RWF,27,45000000,2025-06-30,407,Morocco,left,181,70,no,5.75,46.15,1.33,16.67,0,4.14,1.33,0.14,1.77,37.5,12.5,46.15,2.65,50,1.77,1.33,44.67,2.21,53.07,80.42,15.26,78.26,10.39,16.81,45.77,4.42,18.06,0.51,2.87,6.41,75.86,6.86,51.61,2.87,1.33,8.85,90
D. Calvert-Lewin,Everton,CF,23,45000000,2025-06-30,1425,England,right,187,74,no,1.58,64,9.47,46,0.16,1.65,1.07,0.62,2.53,57.5,27.5,25,1.96,58.06,3.79,0.95,11.24,2.46,15.47,79.59,2.72,60.47,4.86,4.42,14.72,0.38,14.96,0.03,0.38,1.39,90.91,0.38,33.33,0.44,0.06,1.26,60
R. Jiménez,Wolverhampton Wanderers,CF,29,40000000,2024-06-30,876,Mexico,left,190,76,no,2.77,55.56,3.6,42.86,0.12,3.09,0.92,0.31,2.57,36,16,14.29,3.9,55.26,3.49,1.95,17.26,1.23,25.17,80.41,5.14,76,6.68,7.29,23.01,1.44,17.12,0.06,0.62,2.88,75,1.23,58.33,0.82,0.21,2.05,65
Diogo Jota,Liverpool,"LWF, RWF, RAMF",24,40000000,2025-06-30,549,Portugal,right,178,73,no,7.7,57.45,2.95,16.67,0,2.25,1.8,0.4,3.44,52.38,23.81,27.27,5.25,53.13,5.41,2.95,23.93,0.82,33.28,83.74,7.05,79.07,9.18,10.16,30.16,1.31,15.43,0.09,0.49,4.1,80,2.13,46.15,2.13,0.49,5.08,77.42
Á. Correa,Atlético Madrid,"RW, CF",25,40000000,2024-06-30,811,"Argentina, Spain",right,171,70,no,5.22,44.68,1.66,26.67,0,3.7,1.55,0.2,1.44,46.15,7.692,31.25,5.22,40.43,4.66,0.89,24.3,1.44,32.74,83.05,6.66,71.67,9.1,7.21,29.74,1.22,13.98,0.18,1.44,2.44,59.09,2.33,52.38,1.66,0.55,2.22,70
Álvaro Morata,Juventus,CF,28,40000000,2023-06-30,850,Spain,right,189,85,yes,3.81,38.89,2.75,53.85,0.31,3.56,1.48,0.38,2.22,38.1,19.048,44.44,3.71,57.14,5.19,2.65,20.86,2.96,25.94,78.37,4.55,67.44,6.99,9.53,23.51,1.59,15.01,0.15,1.16,2.22,71.43,1.59,66.67,1.59,0.42,2.44,73.91
D. Zapata,Atalanta,CF,29,40000000,2023-06-30,841,Colombia,right,189,88,no,1.5,57.14,3.42,37.5,0,2.65,0.54,0.5,2.89,40.74,11.111,52.63,6.21,46.55,6.31,1.82,16.69,2.03,26.54,81.85,3,60.71,7.81,8.99,24.29,0.54,14.28,0.21,2.03,1.07,60,1.71,62.5,1.61,0.75,1.93,72.22
W. Ben Yedder,Monaco,CF,30,40000000,2024-06-30,1219,Tunisia,right,170,68,no,1.99,48.15,3.84,32.69,0.11,2.34,0.22,0.55,2.51,32.35,23.529,25,2.58,51.43,4.87,2.21,20.23,1.4,29.24,81.06,7.38,70,6.64,9.01,26.43,1.62,15.91,0.19,1.03,3.84,73.08,2.81,55.26,2.21,0.3,3.4,86.96
Marco Asensio,Real Madrid,"RWF, RW, LWF",24,40000000,2023-06-30,595,"Spain, Netherlands",left,182,76,no,4.24,53.57,1.21,25,0.23,3.89,0.3,0.05,1.06,14.29,0,26.47,4.84,53.13,2.57,3.18,36,3.03,45.83,79.21,10.59,71.43,10.89,13.31,39.93,0.76,16.47,0.15,0.91,3.33,72.73,3.78,48,1.51,1.36,6.66,63.64
K. Coman,Bayern München,"LAMF, RAMF",24,40000000,2023-06-30,704,"France, Guadeloupe",right,179,75,no,4.99,53.85,2.3,44.44,0,1.74,0.64,0.16,2.17,23.53,11.765,37.84,8.44,62.12,4.47,3.07,27.36,2.94,37.46,84.64,4.99,76.92,10.87,12.53,31.19,1.53,17.9,0.4,2.3,1.41,90.91,3.71,58.62,1.53,1.79,3.32,92.31
M. Thuram,Borussia M'gladbach,"LAMF, CF",23,40000000,2023-06-30,735,"France, Guadeloupe",right,192,88,no,4.29,62.86,7.1,48.28,0,5.52,1.96,0.32,2.2,27.78,11.111,33.33,7.1,50,3.55,3.31,19.22,2.69,25.35,78.26,5.88,81.25,6.61,7.71,22.9,0.86,14.93,0.03,0.49,2.2,88.89,1.47,50,0.61,0.49,3.92,68.75
M. Dembélé,Olympique Lyonnais,CF,24,40000000,2023-06-30,746,"France, Mali",right,183,74,no,2.65,40.91,5.79,39.58,0,3.33,1.81,0.35,2.41,40,5,25,3.62,40,4.95,0.72,12.43,0.97,14.72,74.59,2.65,68.18,3.86,3.62,13.99,0.24,11.88,0.12,0.72,1.45,66.67,0.97,75,1.21,0.12,1.45,75
P. Aubameyang,Arsenal,"LWF, CF, AMF",31,40000000,2023-06-30,1250,Gabon,right,187,80,no,2.88,42.5,3.53,32.65,0.18,1.8,0.58,0.25,1.8,48,12,42.86,1.87,65.38,3.74,1.51,18.86,2.02,22.1,79.48,4.46,59.68,6.12,6.7,19.58,0.5,15.15,0.11,0.94,1.44,45,2.52,51.43,1.58,0.86,3.02,76.19
N. Pépé,Arsenal,"RWF, RAMF, RW",25,40000000,2024-06-30,493,Côte d'Ivoire,left,183,73,no,3.65,50,4.75,42.31,0.21,3.17,0.91,0.26,2.37,38.46,15.385,30.77,7.3,40,2.56,2.74,16.8,1.46,22.64,76.61,3.83,57.14,8.4,6.02,19.9,0.73,20.24,0.13,0.37,1.1,66.67,1.64,55.56,0.73,0.55,2.92,68.75
T. Abraham,Chelsea,CF,23,40000000,2023-06-30,845,"England, Nigeria",right,191,87,no,3.2,43.33,5.64,49.06,0,2.82,1.49,0.55,2.45,43.48,26.087,33.33,2.02,57.89,4.26,0.53,13.21,2.66,16.62,74.36,3.51,69.7,4.15,4.05,15.66,0.32,13.02,0.07,0.85,1.6,73.33,0.75,42.86,0.53,0.21,1.49,50
Adama Traoré,Wolverhampton Wanderers,"RAMF, RW, RWF",24,40000000,2023-06-30,942,"Spain, Mali",right,178,72,no,4.54,58.14,4.54,51.16,0,2.48,1.8,0.05,0.95,33.33,0,41.07,13.42,71.65,2.22,5.39,15.21,2.32,24.08,69.74,6.13,67.24,4.23,8.24,17.11,1.16,17.61,0.19,1.37,1.8,94.12,3.91,54.05,0.74,2.32,4.54,79.07
J. Ikoné,Lille,"RW, CF",22,36000000,2023-06-30,992,Congo DR,left,175,73,no,4.26,57.45,1.91,28.57,0.11,2.65,0.45,0.23,1.72,31.58,15.789,0,5.08,42.86,2,2.54,19.69,0.64,25.77,81.34,6.35,70,6.62,8.26,24.22,1.09,17.03,0.07,0.64,2.9,62.5,2.18,50,1.54,0,2.63,75.86
M. Diaby,Bayer Leverkusen,"LWF, LAMF, LW",21,36000000,2024-06-30,1211,"France, Mali",left,170,68,no,3.2,41.86,1.11,13.33,0,2.09,0.89,0.14,1.78,41.67,8.333,20.97,5.87,43.04,2.6,3.86,24.45,2.6,31.07,76.56,4.91,72.73,10.4,9.51,25.27,1.64,20.25,0.14,1.04,1.64,63.64,2.97,47.5,1.04,0.82,3.57,70.83
J. Rodríguez,Everton,RWF,29,35000000,2022-06-30,893,Spain,left,180,75,no,4.43,61.36,0.91,33.33,1.05,2.88,0.81,0.16,2.12,52.38,14.286,28.57,3.23,56.25,1.81,0.81,35.38,1.11,45.25,82.18,10.78,77.57,6.75,19.85,36.28,6.95,21.57,0.24,1.41,7.16,78.87,4.54,60,2.22,0.6,8.16,83.95
Maxi Gómez,Valencia,CF,24,35000000,2024-06-30,1230,Uruguay,right,186,87,no,2.49,41.18,8.63,44.92,0.08,1.94,1.9,0.2,1.32,55.56,22.222,12.5,1.39,52.63,1.9,0.29,8.71,2.41,13.83,69.84,3.22,56.82,2.34,4.83,11.27,1.98,19.04,0.02,0.22,2.27,61.29,0.44,33.33,0.15,0.07,1.83,64
A. Pléa,Borussia M'gladbach,"CF, LAMF",27,35000000,2023-06-30,605,"France, Mali",right,181,79,no,2.98,60,4.02,37.04,0.22,1.11,0.6,0.37,2.53,64.71,11.765,38.89,2.68,61.11,3.57,2.08,25.88,2.68,33.92,72.37,6.99,55.32,5.8,12.2,29.6,1.79,17.82,0.15,1.04,3.87,61.54,3.12,66.67,1.34,1.04,3.87,84.62
A. Belotti,Torino,CF,27,35000000,2022-06-30,1234,Italy,right,181,84,no,3.5,58.33,5.4,43.24,0.76,2.44,1.75,0.47,2.92,45,22.5,37.5,6.2,55.29,3.14,2.48,14.15,2.12,18.6,74.9,3.72,60.78,5.25,5.03,16.41,1.02,16.02,0.2,1.02,1.24,70.59,1.82,56,1.17,0.44,2.26,64.52
